Country Name,"Country Code","Series Name","Series Code",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cayman Islands,"CYM","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","NA","NA","NA","NA","NA","NA","-2725340002.86855","-2528550861.74073","1252840638.74218","-1653410248.69123"
Central African Republic,"CAF","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Chad,"TCD","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Channel Islands,"CHI","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Chile,"CHL","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-6558972711.96496","-5312996609.67102","-10812115188.7462","-12322101485.8541","-10757753067.3302","-4948067531.42538","-3836168963.57003","-2604278543.45808","-6450385411.47594","-3247162004.81808"
China,"CHN","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-185749835191.821","-231651578090.287","-176250481637.42","-217957551783.694","-144967626758.575","-68098649764.7788","41674876169.524","-27790987919.5091","-92338473352.4804","-50259822364.755"
Colombia,"COL","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-947330831.294131","-6227223173.70956","-15646181231.6814","-8558338412.8316","-12269760180.6997","-7402796209.71045","-9340585800.77668","-10011316370.6558","-6172375052.87627","-10836342795.2144"
Comoros,"COM","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-8350406.72212085","-23118440.5401981","-10375197.4614675","NA","-4684558.67518389","-4936699.51044482","-3569823.72997207","-3919473.02500831","-5672348.12858009","-4300803.96632158"
"Congo, Dem. Rep.","COD","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-2735100000","-1596024303.85686","-2891607809.09542","-1697585830.80626","-1499572152.49797","-1165720010.30767","-932374669.380907","-1047979482.55526","-1407563588.42423","-1350994226.20535"
"Congo, Rep.","COG","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-928435966.0784","-198458836.52879","289698606.791391","-595923361.842085","-1637972305.05937","-3728906647.19177","1146360259.27412","NA","NA","NA"
Costa Rica,"CRI","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-1589209907.72051","-2328216841.49814","-1802734886.36724","-2401451080.39294","-2817739362.28513","-2541308963.6613","-2127035024.21393","-2652093384.4053","-2433790810.79928","-2695142885.44097"
Cote d'Ivoire,"CIV","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-314374838.451162","-286680746.835918","-315954669.89615","-413993564.514645","-423138062.685085","-480000380.520798","-549220091.283453","-298983969.657158","-475678494.308757","-739662847.653744"
Croatia,"HRV","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-1098855797.19588","-1309375114.61811","-1552272121.58887","-1096770177.95506","-941182517.394654","-249252811.074796","-2198529334.61208","-1315603236.28501","-893109267.074038","-943284797.857509"
Cuba,"CUB","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Curacao,"CUW","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","NA","-99161452.5139665","-58157541.8994413","-14446927.3743017","-25452513.9664804","-127804469.273743","-95363128.4916201","-317955307.26257","-96090253.3966481","-89381655.0782123"
Cyprus,"CYP","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","681922528.277085","6927315537.10676","5274931527.63793","3885092659.02565","14314297362.8819","15284627940.8199","-2086206013.3524","-578113093.996486","-6432932084.95542","123921125.35826"
Czech Republic,"CZE","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-4918465928.19759","-2592551185.93328","-6180626419.76952","379979406.465375","-4014531794.05128","2026234172.19674","-7711369348.17033","-1834383759.13018","-2244655309.3198","-5975777816.22998"
Denmark,"DNK","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","11194035263.6238","-435906393.005073","5411285380.97363","6327998758.53024","3342265730.4483","5406579386.6534","10187621831.3192","5836604485.42798","-2041425450.86105","10135346257.0541"
Djibouti,"DJI","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-36501032.5172602","-79000230.6986794","-109998255.692912","-286004467.676864","-152998238.812521","-143832186.404533","-159997974.353059","-164929861.974668","-170000000","-174999015.310515"
Dominica,"DMA","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-24341705.1851852","-14192972.5925926","-23152398.1481481","-17915757.4074074","-14099949.8402072","-18664593.2496296","-41382233.847963","-22734575.0641394","-76509182.2510063","-59382270.5857393"
Dominican Republic,"DOM","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-2023700000","-2276700000","-3142400000","-1990500000","-2208500000","-2204900000","-2406700000","-3570700000","-2535300000","-3021000000"
Ecuador,"ECU","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-165893320.363638","-646084358.687904","-567417300.85638","-727081206.263418","-772389946.091118","-1322701337.30748","-756008868.122242","-629494412.259199","-1388274763.14022","-973958496.243025"
"Egypt, Arab Rep.","EGY","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-5210100000","1108200000","-2586600000","-3891200000","-4359500000","-6743500000","-7900200000","-7209700000","-7817811000","-8605068000"
El Salvador,"SLV","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","225565382.114283","-218429105.474785","-466020667.402423","-179106499.170128","-306446449.29993","-396350024.042298","-347852921.553821","-888844522.33331","-826046956.670672","-635763348.397767"
Equatorial Guinea,"GNQ","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Eritrea,"ERI","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Estonia,"EST","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-1350833077.00115","-2490397605.83938","-505876815.3678","-246699019.40846","-645747876.494969","140346638.373755","-560729295.01384","-1085198792.98707","-1459475077.84976","-1213800006.65276"
Eswatini,"SWZ","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-131753961.991354","-98310781.8063514","-34740787.0379712","-86675374.5012574","-25253691.8254336","-32719601.2085192","-34160178.0287148","121487677.023016","-39186771.9486442","-107061228.338337"
Ethiopia,"ETH","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-288271568.250744","-628624805.998665","-278562822.162861","-1343876023.73137","-1855052153.64107","-2626517918.313","-4142937496.46329","-4017159564.65434","-3360419368.65295","-2548743427.35754"
Faroe Islands,"FRO","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Fiji,"FJI","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-172232357.811043","-215956223.369362","-275363026.011833","-239294220.930001","-339519368.940481","-239314277.211572","-408052302.705633","-389245575.339342","-472491952.145779","-358452458.527073"
Finland,"FIN","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","2766046759.74603","2457167885.89698","3444014949.83219","-2236027725.23687","-17108721387.8963","-18241204965.2039","15487777451.942","-3464257880.12759","13725083434.5788","-8568455133.46862"
France,"FRA","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","33671093773.6311","20277561650.9941","19070158223.0149","-13973846914.2205","47288734074.2792","8404253503.81788","41841316016.5472","12702511140.0879","61682963434.948","5540992603.07092"
French Polynesia,"PYF","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-26500382.5162562","-105681380.173411","-106140897.412734","-34142298.2441151","-31319423.0936619","-3267219.21939577","-37316039.011203","NA","NA","NA"
Gabon,"GAB","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-146800672.82179","-1098127168.96917","233409728.142014","-87741876.5977063","-782969847.001675","-25253212.3377691","NA","NA","NA","NA"
"Gambia, The","GMB","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-37155533.3575328","-94342122.9364405","-51171214.6728292","-73181699.9635852","-35234966.4992507","-74230000","-71169846.2506449","-71000000","-85490000","-72710000"
Georgia,"GEO","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-730489603.66","-987355065.54","-751274688.9","-919270053.34","-1430328331.63","-1419585720.47","-1246820533.61","-1711345881.13","-976880701.01","-1054275973.81"
Germany,"DEU","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","60605522285.2814","10373148758.4483","33639173474.0944","26093621454.5201","88016024510.6","68432791650.468","47095181676.8461","36296922215.9375","28139591762.5277","85529089839.0692"
Ghana,"GHA","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","-2527350000","-3222243000","-3293430000","-3226330000","-3356989444.44444","-2970893676.55992","-3470668372.75535","-3239080000","-2908184623.24856","-3292065421.38183"
Gibraltar,"GIB","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Greece,"GRC","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","1163732571.11806","726370304.431416","-983789755.021679","-3642778629.0503","318930211.419472","313664376.493588","-4461888211.51056","-3283464014.36403","-3505884539.87617","-4372859648.55399"
Greenland,"GRL","Foreign direct investment, net (BoP, current US$)","BN.KLT.DINV.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
