Country Name,"Country Code","Series Name","Series Code","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
Comoros,"COM","GNI (current US$)","NY.GNP.MKTP.CD","907127359.33076","1022301332.77123","1014150701.47","1116441521.5832","1151100250.86547","969881517.913041","1018190400.7207","1083389247.02739","1185350497.66578","1170987117.00709"
"Congo, Dem. Rep.","COD","GNI (current US$)","NY.GNP.MKTP.CD","20654939478.4381","24543304631.7023","27710051937.9617","29868627089.0428","32869069198.0978","35126776382.8788","36345365361.454","36945659017.8937","45864379412.0085","48961722123.0809"
"Congo, Rep.","COG","GNI (current US$)","NY.GNP.MKTP.CD","12209624109.3368","14071222747.3006","16737430784.7713","17542377946.6692","18151594242.4377","11819665613.6115","9825311857.35545","9532272772.09275","11650026556.8568","10017208118.1664"
Costa Rica,"CRI","GNI (current US$)","NY.GNP.MKTP.CD","36449992582.265","41322448324.2233","45751072762.8359","49093858935.0933","49869412966.9739","54026902501.7369","56365192136.0522","57352914875.2432","59042758879.5319","60210176461.764"
Cote d'Ivoire,"CIV","GNI (current US$)","NY.GNP.MKTP.CD","23995589514.0668","24425276236.7888","25926661657.2942","29861784272.1476","34454180221.7405","44807384562.9239","46887633191.4514","50051967022.8553","55809155337.1927","56975603680.0811"
Croatia,"HRV","GNI (current US$)","NY.GNP.MKTP.CD","58388135336.3191","61129319478.2783","55274204473.4011","57717108743.5506","57124036614.1144","49853588711.8938","50752030687.4358","55400508645.1301","61350206791.5881","61323651128.3134"
Cuba,"CUB","GNI (current US$)","NY.GNP.MKTP.CD","62896000000","67926000000","72146000000","76226000000","79602100000","86014000000","90086000000","95497000000","98575000000","NA"
Curacao,"CUW","GNI (current US$)","NY.GNP.MKTP.CD","NA","3025347670.43083","3168224600.67135","3193945792.27961","3227121116.21626","3243793436.39987","3200204155.81337","3226134517.58645","3232779546.23907","3234089147.07112"
Cyprus,"CYP","GNI (current US$)","NY.GNP.MKTP.CD","25365001988.5987","28291559020.0445","24805330849.2869","23618497808.4739","22538678092.2014","19712840341.7286","20118149214.0801","22199072525.9828","24607344119.0364","24544867345.7965"
Czech Republic,"CZE","GNI (current US$)","NY.GNP.MKTP.CD","193418140405.535","211036199499.884","195428016856.085","198239568740.499","194987353968.445","175136907363.179","183030984148.2","206250524034.28","235280883881.285","237234462383.761"
Denmark,"DNK","GNI (current US$)","NY.GNP.MKTP.CD","327262172001.618","351257091701.648","334536414976.473","354463589494.156","365833620392.697","311964189253.733","320812594566.814","339391058127.817","366754681199.451","357603732015.179"
Djibouti,"DJI","GNI (current US$)","NY.GNP.MKTP.CD","1145970369.28669","1247888544.40387","1381266141.87406","2014984773.88716","2191027402.50167","2403270167.84736","2523555336.73567","2624779619.74105","2870628711.29467","3230771827.75249"
Dominica,"DMA","GNI (current US$)","NY.GNP.MKTP.CD","484385185.185185","490477777.777778","476466666.666667","478788888.888889","555392592.592593","519255555.555556","559429629.62963","508659259.259259","551940740.740741","601649000"
Dominican Republic,"DOM","GNI (current US$)","NY.GNP.MKTP.CD","51932177372.8793","55774581987.3135","58281926478.1805","59708978487.6","63931917485.0803","68227916795.2404","72450765680.2216","76203984074.6912","81863297764.0881","84871455782.1538"
Ecuador,"ECU","GNI (current US$)","NY.GNP.MKTP.CD","68569173000","78067843000","86587424000","93662124000","100144291000","97501257000","98028639000","101858207000","104605438000","104934502000"
"Egypt, Arab Rep.","EGY","GNI (current US$)","NY.GNP.MKTP.CD","214618966061.706","229940172977.625","272637266666.667","281027708527.132","298332708895.265","323665676819.407","327970017791.411","231165195652.174","243433399437.254","292071265603.645"
El Salvador,"SLV","GNI (current US$)","NY.GNP.MKTP.CD","17909710000","19665540000","20515590000","21000760000","21558030000","22346390000","22945050000","23591570000","24550760000","25559270000"
Equatorial Guinea,"GNQ","GNI (current US$)","NY.GNP.MKTP.CD","9578455859.0232","13819219556.27","14844232058.9824","15003861974.6298","14796386739.5044","9945017697.99731","8709938326.77619","8983531116.62288","10026980379.1012","8329916823.55915"
Eritrea,"ERI","GNI (current US$)","NY.GNP.MKTP.CD","1569887473.17073","2041455160.97561","NA","NA","NA","NA","NA","NA","NA","NA"
Estonia,"EST","GNI (current US$)","NY.GNP.MKTP.CD","18635314311.9741","22210861628.9901","22237623396.3398","24663444923.3427","26016585293.3131","22543889502.3005","23719542899.4187","26237511453.7214","30019486699.9738","30759017473.7254"
Eswatini,"SWZ","GNI (current US$)","NY.GNP.MKTP.CD","4212626973.72016","4528166007.90514","4571205992.69184","4400158993.69245","4235837856.0174","3903725441.89294","3610868072.55126","4107866513.12137","4345143352.3916","4042783038.06228"
Ethiopia,"ETH","GNI (current US$)","NY.GNP.MKTP.CD","29825574928.2445","31883271774.1935","43214529006.0852","47541429851.2713","55459432981.0434","64326834729.9906","74053937524.5784","81285191646.1807","83892033920.3775","95322999764.7411"
Faroe Islands,"FRO","GNI (current US$)","NY.GNP.MKTP.CD","2350669440.4438","2626036098.12431","2492533448.42469","2773943699.5887","2955634743.87528","2587761411.43596","2841496204.52486","2999379060.71575","3142352643.08111","3219884847.21264"
Fiji,"FJI","GNI (current US$)","NY.GNP.MKTP.CD","3043130949.27801","3658574057.55075","3825356332.75602","4108194688.82372","4631573805.23471","4398221920.28986","4658232109.60997","4930307029.85147","5221546227.22741","5045561192.96052"
Finland,"FIN","GNI (current US$)","NY.GNP.MKTP.CD","252404839602.935","276297419116.355","259512605054.631","272399254958.036","277244896380.481","236745830831.021","241702997200.346","255143856199.685","276687642758.328","270141513435.294"
France,"FRA","GNI (current US$)","NY.GNP.MKTP.CD","2703780741292.19","2937479068093.53","2742506164929.59","2874043166666.13","2913983592556.46","2490863059700.31","2523562336756.09","2647250199464.78","2854266879701.63","2787416524619.6"
French Polynesia,"PYF","GNI (current US$)","NY.GNP.MKTP.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Gabon,"GAB","GNI (current US$)","NY.GNP.MKTP.CD","12484463860.0323","15711224400.8789","15456971600.9772","15890972051.6072","17256250321.3623","13188718851.3015","12934875312.3494","13985729747.5427","15754972352.1527","15511134184.7141"
"Gambia, The","GMB","GNI (current US$)","NY.GNP.MKTP.CD","1513386209.48165","1377827103.16854","1385746819.38205","1345938955.88137","1200490602.16136","1345126868.55094","1456755151.30555","1476610604.41246","1641471456.93411","1782302843.44569"
Georgia,"GEO","GNI (current US$)","NY.GNP.MKTP.CD","12026105593.8955","14681541476.4305","16316003088.4757","16872451545.0283","17397203432.0666","14615250561.8473","14440358558.3302","15447499820.6814","16915006669.0344","16699333664.5257"
Germany,"DEU","GNI (current US$)","NY.GNP.MKTP.CD","3464482469694.36","3840293076529","3611978814803.06","3819178029463.77","3961735742666.92","3432720276373.62","3553516783450.03","3769455398991.34","4103197500021.94","4014394171599.99"
Ghana,"GHA","GNI (current US$)","NY.GNP.MKTP.CD","31663124545.4545","38114303104.0379","39174956052.3864","61072600585.4446","51920119657.5295","47921089700.1023","53961581129.4695","57431697460.0621","64270236560.3123","65527306781.1554"
Gibraltar,"GIB","GNI (current US$)","NY.GNP.MKTP.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Greece,"GRC","GNI (current US$)","NY.GNP.MKTP.CD","290269009046.961","274791195321.416","244068405104.664","238830997929.036","236671380520.976","195445621345.813","192076829352.515","198351373145.389","209609231280.344","203279410555.631"
Greenland,"GRL","GNI (current US$)","NY.GNP.MKTP.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Grenada,"GRD","GNI (current US$)","NY.GNP.MKTP.CD","731135629.62963","746883222.222222","765599962.962963","813021518.518518","828656703.703704","880071740.740741","964617074.074074","1004054814.81481","1052901925.92593","1095541629.62963"
Guam,"GUM","GNI (current US$)","NY.GNP.MKTP.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Guatemala,"GTM","GNI (current US$)","NY.GNP.MKTP.CD","39642735659.8575","45572811583.2199","48568960273.6928","51760538476.2244","56335293254.1838","60699783495.3232","64628417702.8645","70153026034.6494","71702090102.6705","75608515051.9054"
